Test Case ID,Module,Feature,API Endpoint,Scenario,Preconditions,Test Data,Test Steps,Expected Result (API),Expected Result (UI),Priority,Test Type,Automation Status,Automation Reference,Remarks
CD-011,Content Detail,Content detail,Episode hierarchy — GET /content-detail-service/pub/v1/episode-hierarchy/{episodeId}/{direction} (NEXT|CURRENT|PREVIOUS),Episode hierarchy: GET episode-hierarchy/{episodeId}/{direction} — three-state NEXT|CURRENT|PREVIOUS [NEXT],"Logged-in subscriber with valid bearer token, x-api-key, and environment-specific test content configured.",Environment properties + variant: NEXT,"1. Call API: Episode hierarchy — GET /content-detail-service/pub/v1/episode-hierarchy/{episodeId}/{direction} (NEXT|CURRENT|PREVIOUS)
2. Use variant/parameters: NEXT
3. Validate HTTP status, response envelope (status=true), and business rules per scenario.","HTTP 200; status=true; response data matches contract (fields present, correct ids, ordering, no duplicates).",N/A (API contract test),P1,Positive,Automated,ContentDetail.java#CD_2_20_v1_episodeHierarchy_Next_Valid,
CD-012,Content Detail,Content detail,Episode hierarchy — GET /content-detail-service/pub/v1/episode-hierarchy/{episodeId}/{direction} (NEXT|CURRENT|PREVIOUS),Episode hierarchy: GET episode-hierarchy/{episodeId}/{direction} — three-state NEXT|CURRENT|PREVIOUS [CURRENT],"Logged-in subscriber with valid bearer token, x-api-key, and environment-specific test content configured.",Environment properties + variant: CURRENT,"1. Call API: Episode hierarchy — GET /content-detail-service/pub/v1/episode-hierarchy/{episodeId}/{direction} (NEXT|CURRENT|PREVIOUS)
2. Use variant/parameters: CURRENT
3. Validate HTTP status, response envelope (status=true), and business rules per scenario.","HTTP 200; status=true; response data matches contract (fields present, correct ids, ordering, no duplicates).",N/A (API contract test),P1,Positive,Automated,ContentDetail.java#CD_2_20_v1_episodeHierarchy_Current_Valid,
CD-013,Content Detail,Content detail,Episode hierarchy — GET /content-detail-service/pub/v1/episode-hierarchy/{episodeId}/{direction} (NEXT|CURRENT|PREVIOUS),Episode hierarchy: GET episode-hierarchy/{episodeId}/{direction} — three-state NEXT|CURRENT|PREVIOUS [PREVIOUS],"Logged-in subscriber with valid bearer token, x-api-key, and environment-specific test content configured.",Environment properties + variant: PREVIOUS,"1. Call API: Episode hierarchy — GET /content-detail-service/pub/v1/episode-hierarchy/{episodeId}/{direction} (NEXT|CURRENT|PREVIOUS)
2. Use variant/parameters: PREVIOUS
3. Validate HTTP status, response envelope (status=true), and business rules per scenario.","HTTP 200; status=true; response data matches contract (fields present, correct ids, ordering, no duplicates).",N/A (API contract test),P1,Positive,Automated,ContentDetail.java#CD_2_20_v1_episodeHierarchy_Previous_Valid,
CD-014,Content Detail,Content detail,3PP VOD — GET /content-detail-service/pub/v1/3PPVODMovie/{contentId} (3ppvodmovie),GET 3PPVODMovie/{contentId} — 3ppvodmovie editorial detail,"Logged-in subscriber with valid bearer token, x-api-key, and environment-specific test content configured.",vrgo.content.detail.* ids from environments/<env>.properties,"1. Call API: 3PP VOD — GET /content-detail-service/pub/v1/3PPVODMovie/{contentId} (3ppvodmovie)
2. Validate HTTP status, response envelope (status=true), and business rules per scenario.","HTTP 200; status=true; response data matches contract (fields present, correct ids, ordering, no duplicates).",N/A (API contract test),P1,Positive,Automated,ContentDetail.java#CD_2_23_v1_3ppMovieDetail_Valid,
CD-015,Content Detail,Content detail,3PP VOD — GET /content-detail-service/pub/v1/3PPVODEpisode/{contentId} (3ppvodepisode),GET 3PPVODEpisode/{contentId} — 3ppvodepisode editorial detail,"Logged-in subscriber with valid bearer token, x-api-key, and environment-specific test content configured.",vrgo.content.detail.* ids from environments/<env>.properties,"1. Call API: 3PP VOD — GET /content-detail-service/pub/v1/3PPVODEpisode/{contentId} (3ppvodepisode)
2. Validate HTTP status, response envelope (status=true), and business rules per scenario.","HTTP 200; status=true; response data matches contract (fields present, correct ids, ordering, no duplicates).",N/A (API contract test),P1,Positive,Automated,ContentDetail.java#CD_2_23_v1_3ppEpisodeDetail_Valid,
CD-016,Content Detail,Content detail,3PP VOD — GET /content-detail-service/pub/v1/3PPVODSeason/{contentId} (3ppvodseason),GET 3PPVODSeason/{contentId} — 3ppvodseason editorial detail,"Logged-in subscriber with valid bearer token, x-api-key, and environment-specific test content configured.",vrgo.content.detail.* ids from environments/<env>.properties,"1. Call API: 3PP VOD — GET /content-detail-service/pub/v1/3PPVODSeason/{contentId} (3ppvodseason)
2. Validate HTTP status, response envelope (status=true), and business rules per scenario.","HTTP 200; status=true; response data matches contract (fields present, correct ids, ordering, no duplicates).",N/A (API contract test),P1,Positive,Automated,ContentDetail.java#CD_2_23_v1_3ppSeasonDetail_Valid,
CD-017,Content Detail,Content detail,GET /content-detail-service/pub/v1/movie/{movieId},GET movie editorial detail,"Logged-in subscriber with valid bearer token, x-api-key, and environment-specific test content configured.",vrgo.content.detail.* ids from environments/<env>.properties,"1. Call API: GET /content-detail-service/pub/v1/movie/{movieId}
2. Validate HTTP status, response envelope (status=true), and business rules per scenario.","HTTP 200; status=true; response data matches contract (fields present, correct ids, ordering, no duplicates).",N/A (API contract test),P1,Positive,Automated,ContentDetail.java#CD_2_6_v1_moviesDetail_Valid,
CD-018,Content Detail,Content detail,GET /content-detail-service/pub/v1/boxset/{boxsetId},GET movie detail using alternate UUID-style id when configured,"Logged-in subscriber with valid bearer token, x-api-key, and environment-specific test content configured.",vrgo.content.detail.* ids from environments/<env>.properties,"1. Call API: GET /content-detail-service/pub/v1/boxset/{boxsetId}
2. Validate HTTP status, response envelope (status=true), and business rules per scenario.","HTTP 200; status=true; response data matches contract (fields present, correct ids, ordering, no duplicates).",N/A (API contract test),P1,Positive,Automated,ContentDetail.java#CD_2_15_v1_boxsetDetail_Valid,
CD-019,Content Detail,Content detail,GET /content-detail-service/pub/v1/boxset/{boxsetId}/binge,GET boxset/{boxsetId}/binge — boxset binge-watch payload,"Logged-in subscriber with valid bearer token, x-api-key, and environment-specific test content configured.",vrgo.content.detail.* ids from environments/<env>.properties,"1. Call API: GET /content-detail-service/pub/v1/boxset/{boxsetId}/binge
2. Validate HTTP status, response envelope (status=true), and business rules per scenario.","HTTP 200; status=true; response data matches contract (fields present, correct ids, ordering, no duplicates).",N/A (API contract test),P1,Positive,Automated,ContentDetail.java#CD_2_24_v1_boxsetBingeWatch_Valid,
CD-020,Content Detail,Content detail,GET /content-detail-service/pub/v1/boxset/childs,GET boxset/childs with boxsetid header and pagination query,"Logged-in subscriber with valid bearer token, x-api-key, and environment-specific test content configured.",vrgo.content.detail.* ids from environments/<env>.properties,"1. Call API: GET /content-detail-service/pub/v1/boxset/childs
2. Validate HTTP status, response envelope (status=true), and business rules per scenario.","HTTP 200; status=true; response data matches contract (fields present, correct ids, ordering, no duplicates).",N/A (API contract test),P1,Positive,Automated,ContentDetail.java#CD_2_22_v1_boxsetChild_Valid,
CD-021,Content Detail,Content detail,GET /content-detail-service/pub/v1/trailer/{contentType}/{contentId},GET trailer/{contentType}/{contentId} — data null or object [movie (movie id)],"Logged-in subscriber with valid bearer token, x-api-key, and environment-specific test content configured.",Environment properties + variant: movie (movie id),"1. Call API: GET /content-detail-service/pub/v1/trailer/{contentType}/{contentId}
2. Use variant/parameters: movie (movie id)
3. Validate HTTP status, response envelope (status=true), and business rules per scenario.","HTTP 200; status=true; response data matches contract (fields present, correct ids, ordering, no duplicates).",N/A (API contract test),P1,Positive,Automated,ContentDetail.java#CD_2_18_v1_trailer_Movie_Valid,
CD-022,Content Detail,Content detail,GET /content-detail-service/pub/v1/trailer/{contentType}/{contentId},GET trailer/{contentType}/{contentId} — data null or object [series (close series id)],"Logged-in subscriber with valid bearer token, x-api-key, and environment-specific test content configured.",Environment properties + variant: series (close series id),"1. Call API: GET /content-detail-service/pub/v1/trailer/{contentType}/{contentId}
2. Use variant/parameters: series (close series id)
3. Validate HTTP status, response envelope (status=true), and business rules per scenario.","HTTP 200; status=true; response data matches contract (fields present, correct ids, ordering, no duplicates).",N/A (API contract test),P1,Positive,Automated,ContentDetail.java#CD_2_18_v1_trailer_CloseSeries_Valid,
CD-023,Content Detail,Content detail,GET /content-detail-service/pub/v1/trailer/{contentType}/{contentId},GET trailer/{contentType}/{contentId} — data null or object [series (open series id)],"Logged-in subscriber with valid bearer token, x-api-key, and environment-specific test content configured.",Environment properties + variant: series (open series id),"1. Call API: GET /content-detail-service/pub/v1/trailer/{contentType}/{contentId}
2. Use variant/parameters: series (open series id)
3. Validate HTTP status, response envelope (status=true), and business rules per scenario.","HTTP 200; status=true; response data matches contract (fields present, correct ids, ordering, no duplicates).",N/A (API contract test),P1,Positive,Automated,ContentDetail.java#CD_2_18_v1_trailer_OpenSeries_Valid,
CD-024,Content Detail,Content detail,GET /content-detail-service/pub/v1/trailer/{contentType}/{contentId},GET trailer/{contentType}/{contentId} — data null or object [boxset (boxset id)],"Logged-in subscriber with valid bearer token, x-api-key, and environment-specific test content configured.",Environment properties + variant: boxset (boxset id),"1. Call API: GET /content-detail-service/pub/v1/trailer/{contentType}/{contentId}
2. Use variant/parameters: boxset (boxset id)
3. Validate HTTP status, response envelope (status=true), and business rules per scenario.","HTTP 200; status=true; response data matches contract (fields present, correct ids, ordering, no duplicates).",N/A (API contract test),P1,Positive,Automated,ContentDetail.java#CD_2_18_v1_trailer_Boxset_Valid,
CD-025,Content Detail,Content detail,GET /content-detail-service/pub/v1/channel/{channelId},GET channel editorial detail,"Logged-in subscriber with valid bearer token, x-api-key, and environment-specific test content configured.",vrgo.lock.channel.* / vrgo.last.tuned.channel.* from environment properties,"1. Call API: GET /content-detail-service/pub/v1/channel/{channelId}
2. Validate HTTP status, response envelope (status=true), and business rules per scenario.","HTTP 200; status=true; response data matches contract (fields present, correct ids, ordering, no duplicates).",N/A (API contract test),P1,Positive,Automated,ContentDetail.java#CD_2_7_v1_channelDetail_Valid,
CD-026,Content Detail,Content detail,GET /content-detail-service/pub/v1/on-air/{channelId},GET on-air programme for linear channel,"Logged-in subscriber with valid bearer token, x-api-key, and environment-specific test content configured.",vrgo.lock.channel.* / vrgo.last.tuned.channel.* from environment properties,"1. Call API: GET /content-detail-service/pub/v1/on-air/{channelId}
2. Validate HTTP status, response envelope (status=true), and business rules per scenario.","HTTP 200; status=true; response data matches contract (fields present, correct ids, ordering, no duplicates).",N/A (API contract test),P1,Positive,Automated,ContentDetail.java#CD_2_19_v1_onAirEpg_Valid,
CD-027,Content Detail,Content detail,GET /content-detail-service/pub/v1/channel/{channelId}/dates,GET channel/{channelId}/dates — scheduled dates list,"Logged-in subscriber with valid bearer token, x-api-key, and environment-specific test content configured.",vrgo.lock.channel.* / vrgo.last.tuned.channel.* from environment properties,"1. Call API: GET /content-detail-service/pub/v1/channel/{channelId}/dates
2. Validate HTTP status, response envelope (status=true), and business rules per scenario.","HTTP 200; status=true; response data matches contract (fields present, correct ids, ordering, no duplicates).",N/A (API contract test),P1,Positive,Automated,ContentDetail.java#CD_2_16_v1_channelEpgDates_Valid,
CD-028,Content Detail,Content detail,GET /content-detail-service/pub/v1/events/{displayDate},GET events/{displayDate} with channelids header (today in channel.day.timezone),"Logged-in subscriber with valid bearer token, x-api-key, and environment-specific test content configured.",vrgo.lock.channel.* / vrgo.last.tuned.channel.* from environment properties,"1. Call API: GET /content-detail-service/pub/v1/events/{displayDate}
2. Validate HTTP status, response envelope (status=true), and business rules per scenario.","HTTP 200; status=true; response data matches contract (fields present, correct ids, ordering, no duplicates).",N/A (API contract test),P1,Positive,Automated,ContentDetail.java#CD_2_26_v1_events_Valid,
CD-029,Content Detail,Content detail,GET /content-detail-service/pub/v1/channel-day/{channelId}/{dayEpochMs},"GET channel-day/{channelId}/{dayEpochMs} — epoch in [now, end of day)","Logged-in subscriber with valid bearer token, x-api-key, and environment-specific test content configured.",vrgo.lock.channel.* / vrgo.last.tuned.channel.* from environment properties,"1. Call API: GET /content-detail-service/pub/v1/channel-day/{channelId}/{dayEpochMs}
2. Validate HTTP status, response envelope (status=true), and business rules per scenario.","HTTP 200; status=true; response data matches contract (fields present, correct ids, ordering, no duplicates).",N/A (API contract test),P1,Positive,Automated,ContentDetail.java#CD_2_8_v1_channelDay_Valid,
CD-030,Content Detail,Content detail,GET /content-detail-service/pub/v1/channel-day/48-hours/{channelId}/{dayEpochMs},"GET 48hr linear EPG grid — channel-day/48-hours/{channelId}/{dayEpochMs} (epoch in [now, end of day) unless fixed property >= now)","Logged-in subscriber with valid bearer token, x-api-key, and environment-specific test content configured.",vrgo.lock.channel.* / vrgo.last.tuned.channel.* from environment properties,"1. Call API: GET /content-detail-service/pub/v1/channel-day/48-hours/{channelId}/{dayEpochMs}
2. Validate HTTP status, response envelope (status=true), and business rules per scenario.","HTTP 200; status=true; response data matches contract (fields present, correct ids, ordering, no duplicates).",N/A (API contract test),P1,Positive,Automated,ContentDetail.java#CD_2_13_v1_48hrsChannelDay_Valid,
CD-031,Content Detail,Content detail,GET /content-detail-service/pub/v1/epg/{epgId},GET epg/{epgId} — programme detail; event id fetched from channel-day when not configured,"Logged-in subscriber with valid bearer token, x-api-key, and environment-specific test content configured.",vrgo.lock.channel.* / vrgo.last.tuned.channel.* from environment properties,"1. Call API: GET /content-detail-service/pub/v1/epg/{epgId}
2. Validate HTTP status, response envelope (status=true), and business rules per scenario.","HTTP 200; status=true; response data matches contract (fields present, correct ids, ordering, no duplicates).",N/A (API contract test),P1,Positive,Automated,ContentDetail.java#CD_2_12_v1_epgDetail_Valid,
CD-032,Content Detail,Content detail,GET /content-detail-service/pub/v1/channel/{channelId}/{neighborState},GET channel/{channelId}/{NEXT|PREVIOUS} — bouquet neighbour channel [NEXT],"Logged-in subscriber with valid bearer token, x-api-key, and environment-specific test content configured.",Environment properties + variant: NEXT,"1. Call API: GET /content-detail-service/pub/v1/channel/{channelId}/{neighborState}
2. Use variant/parameters: NEXT
3. Validate HTTP status, response envelope (status=true), and business rules per scenario.","HTTP 200; status=true; response data matches contract (fields present, correct ids, ordering, no duplicates).",N/A (API contract test),P1,Positive,Automated,ContentDetail.java#CD_2_9_v1_nextPreviousChannel_Next_Valid,
CD-033,Content Detail,Content detail,GET /content-detail-service/pub/v1/channel/{channelId}/{neighborState},GET channel/{channelId}/{NEXT|PREVIOUS} — bouquet neighbour channel [PREVIOUS],"Logged-in subscriber with valid bearer token, x-api-key, and environment-specific test content configured.",Environment properties + variant: PREVIOUS,"1. Call API: GET /content-detail-service/pub/v1/channel/{channelId}/{neighborState}
2. Use variant/parameters: PREVIOUS
3. Validate HTTP status, response envelope (status=true), and business rules per scenario.","HTTP 200; status=true; response data matches contract (fields present, correct ids, ordering, no duplicates).",N/A (API contract test),P1,Positive,Automated,ContentDetail.java#CD_2_9_v1_nextPreviousChannel_Previous_Valid,
CD-034,Content Detail,Content detail,GET /content-detail-service/pub/v1/mybox/channels,GET mybox/channels — channel catalogue,"Logged-in subscriber with valid bearer token, x-api-key, and environment-specific test content configured.",vrgo.lock.channel.* / vrgo.last.tuned.channel.* from environment properties,"1. Call API: GET /content-detail-service/pub/v1/mybox/channels
2. Validate HTTP status, response envelope (status=true), and business rules per scenario.","HTTP 200; status=true; response data matches contract (fields present, correct ids, ordering, no duplicates).",N/A (API contract test),P1,Positive,Automated,ContentDetail.java#CD_2_25_v1_myBoxChannels_Valid,
CD-035,Content Detail,Content detail,GET /content-detail-service/pub/v1/mybox/genres,GET mybox/genres — genre list,"Logged-in subscriber with valid bearer token, x-api-key, and environment-specific test content configured.",vrgo.content.detail.* ids from environments/<env>.properties,"1. Call API: GET /content-detail-service/pub/v1/mybox/genres
2. Validate HTTP status, response envelope (status=true), and business rules per scenario.","HTTP 200; status=true; response data matches contract (fields present, correct ids, ordering, no duplicates).",N/A (API contract test),P1,Positive,Automated,ContentDetail.java#CD_2_16_v1_myBoxGenres_Valid,
CD-036,Content Detail,Content detail,GET /content-detail-service/pub/v1/mybox/{dayEpochMs},"GET mybox/{dayEpochMs} with limit, offset — full MyBox EPG grid","Logged-in subscriber with valid bearer token, x-api-key, and environment-specific test content configured.",vrgo.content.detail.* ids from environments/<env>.properties,"1. Call API: GET /content-detail-service/pub/v1/mybox/{dayEpochMs}
2. Validate HTTP status, response envelope (status=true), and business rules per scenario.","HTTP 200; status=true; response data matches contract (fields present, correct ids, ordering, no duplicates).",N/A (API contract test),P1,Positive,Automated,ContentDetail.java#CD_2_10_v1_myBox_Valid,
CD-037,Content Detail,Content detail,GET /content-detail-service/pub/v1/filter/,"GET filter/ — channel filter catalogue (data array of name, channelKey)","Logged-in subscriber with valid bearer token, x-api-key, and environment-specific test content configured.",vrgo.lock.channel.* / vrgo.last.tuned.channel.* from environment properties,"1. Call API: GET /content-detail-service/pub/v1/filter/
2. Validate HTTP status, response envelope (status=true), and business rules per scenario.","HTTP 200; status=true; response data matches contract (fields present, correct ids, ordering, no duplicates).",N/A (API contract test),P1,Positive,Automated,ContentDetail.java#CD_2_17_v1_getFilters_Valid,
CD-038,Content Detail,Content detail,GET /content-detail-service/pub/v2/mini-mybox/{dayEpochMs},"GET mini-mybox/{dayEpochMs} with limit, offset, epgEnum","Logged-in subscriber with valid bearer token, x-api-key, and environment-specific test content configured.",vrgo.content.detail.* ids from environments/<env>.properties,"1. Call API: GET /content-detail-service/pub/v2/mini-mybox/{dayEpochMs}
2. Validate HTTP status, response envelope (status=true), and business rules per scenario.","HTTP 200; status=true; response data matches contract (fields present, correct ids, ordering, no duplicates).",N/A (API contract test),P1,Positive,Automated,ContentDetail.java#CD_2_11_v2_miniMyBox_Valid,
