Test Case ID,Module,Feature,API Endpoint,Scenario,Preconditions,Test Data,Test Steps,Expected Result (API),Expected Result (UI),Priority,Test Type,Automation Status,Automation Reference,Remarks
CWS-011,Continue Watch Scenarios,Continue watch,POST /subscriber-activity-producer/v3/subscriber-continue-watch (boxset movie1 partial),POST boxset movie1 with hasCompletedPlayBack=false — partial watch; movie1 in CW only,Logged-in entitled subscriber; CW/WA lists in known state (see scenario).,Configured content/channel ids from environments/<env>.properties,"1. Call API: POST /subscriber-activity-producer/v3/subscriber-continue-watch (boxset movie1 partial)
2. Validate HTTP status, response envelope (status=true), and business rules per scenario.","HTTP 200; status=true; response data matches contract (fields present, correct ids, ordering, no duplicates).",N/A (API contract test),P1,Positive,Automated,ContinueWatchScenarios.java#addBoxsetMovie1Partial_hasCompletedPlayBackFalse,
CWS-012,Continue Watch Scenarios,Continue watch,GET /subscriber-event-service/v3/continue-watch/continue (boxset movie1 partial validation),GET continue-watch after partial movie1 — movie1 present; movie2 absent,Logged-in entitled subscriber; CW/WA lists in known state (see scenario).,Configured content/channel ids from environments/<env>.properties,"1. Call API: GET /subscriber-event-service/v3/continue-watch/continue (boxset movie1 partial validation)
2. Validate HTTP status, response envelope (status=true), and business rules per scenario.",API returns expected error (e.g. HTTP 400) or item excluded from list per contract.,N/A (API contract test),P2,Negative,Automated,ContinueWatchScenarios.java#getCwAfterPartialBoxsetMovie1_movie1PresentMovie2Absent,
CWS-013,Continue Watch Scenarios,Continue watch,POST /subscriber-activity-producer/v3/subscriber-continue-watch (boxset movie1 completed),POST boxset movie1 with hasCompletedPlayBack=true — completes movie1 and promotes movie2,Logged-in entitled subscriber; CW/WA lists in known state (see scenario).,Configured content/channel ids from environments/<env>.properties,"1. Call API: POST /subscriber-activity-producer/v3/subscriber-continue-watch (boxset movie1 completed)
2. Validate HTTP status, response envelope (status=true), and business rules per scenario.","HTTP 200; status=true; response data matches contract (fields present, correct ids, ordering, no duplicates).",N/A (API contract test),P1,Positive,Automated,ContinueWatchScenarios.java#addBoxsetMovie1Completed_hasCompletedPlayBackTrue,
CWS-014,Continue Watch Scenarios,Continue watch,GET /subscriber-event-service/v3/continue-watch/continue (boxset movie1 complete: movie2 at 0%),GET continue-watch after completed movie1 — movie1 absent; movie2 present with progress 0,Logged-in entitled subscriber; CW/WA lists in known state (see scenario).,Configured content/channel ids from environments/<env>.properties,"1. Call API: GET /subscriber-event-service/v3/continue-watch/continue (boxset movie1 complete: movie2 at 0%)
2. Validate HTTP status, response envelope (status=true), and business rules per scenario.",API returns expected error (e.g. HTTP 400) or item excluded from list per contract.,N/A (API contract test),P2,Negative,Automated,ContinueWatchScenarios.java#getCwAfterCompletedBoxsetMovie1_movie1AbsentMovie2PresentWithZeroProgress,
CWS-015,Continue Watch Scenarios,Continue watch,GET /subscriber-event-service/v3/watch-again (boxset movie1 after completion),GET watch-again after completed movie1 — movie1 must appear in watch-again list,Logged-in entitled subscriber; CW/WA lists in known state (see scenario).,Configured content/channel ids from environments/<env>.properties,"1. Call API: GET /subscriber-event-service/v3/watch-again (boxset movie1 after completion)
2. Validate HTTP status, response envelope (status=true), and business rules per scenario.","HTTP 200; status=true; response data matches contract (fields present, correct ids, ordering, no duplicates).",N/A (API contract test),P1,Positive,Automated,ContinueWatchScenarios.java#getWatchAgainAfterCompletedBoxsetMovie1_movie1Present,
CWS-016,Continue Watch Scenarios,Continue watch,DELETE /subscriber-event-service/v3/continue-watch/ (open-series pre-scenario cleanup),DELETE all existing CW items — clean slate before open-series scenario,Logged-in subscriber with valid auth headers.,Configured content/channel ids from environments/<env>.properties,"1. Call API: DELETE /subscriber-event-service/v3/continue-watch/ (open-series pre-scenario cleanup)
2. Validate HTTP status, response envelope (status=true), and business rules per scenario.",Setup/teardown completes successfully; state ready for next step.,N/A (API contract test),P3,Setup/Teardown,Automated,ContinueWatchScenarios.java#deleteAllCwItems_openSeriesCleanSlate,
CWS-017,Continue Watch Scenarios,Continue watch,POST /subscriber-activity-producer/v3/subscriber-continue-watch (open-series EP1 completed),POST open-series EP1 with hasCompletedPlayBack=true — completes EP1 and promotes EP2,Logged-in entitled subscriber; CW/WA lists in known state (see scenario).,Configured content/channel ids from environments/<env>.properties,"1. Call API: POST /subscriber-activity-producer/v3/subscriber-continue-watch (open-series EP1 completed)
2. Validate HTTP status, response envelope (status=true), and business rules per scenario.","HTTP 200; status=true; response data matches contract (fields present, correct ids, ordering, no duplicates).",N/A (API contract test),P1,Positive,Automated,ContinueWatchScenarios.java#addOpenSeriesEp1Completed_hasCompletedPlayBackTrue,
CWS-018,Continue Watch Scenarios,Continue watch,GET /subscriber-event-service/v3/continue-watch/continue (open-series EP1 complete: EP2 at 0%),GET continue-watch after completed open-series EP1 — EP1 absent; EP2 present with progress 0,Logged-in entitled subscriber; CW/WA lists in known state (see scenario).,Configured content/channel ids from environments/<env>.properties,"1. Call API: GET /subscriber-event-service/v3/continue-watch/continue (open-series EP1 complete: EP2 at 0%)
2. Validate HTTP status, response envelope (status=true), and business rules per scenario.",API returns expected error (e.g. HTTP 400) or item excluded from list per contract.,N/A (API contract test),P2,Negative,Automated,ContinueWatchScenarios.java#getCwAfterCompletedOpenSeriesEp1_ep1AbsentEp2PresentWithZeroProgress,
CWS-019,Continue Watch Scenarios,Continue watch,POST /subscriber-activity-producer/v3/subscriber-continue-watch (open-series last episode completed),POST open-series last episode with hasCompletedPlayBack=true — completes series,Logged-in entitled subscriber; CW/WA lists in known state (see scenario).,Configured content/channel ids from environments/<env>.properties,"1. Call API: POST /subscriber-activity-producer/v3/subscriber-continue-watch (open-series last episode completed)
2. Validate HTTP status, response envelope (status=true), and business rules per scenario.","HTTP 200; status=true; response data matches contract (fields present, correct ids, ordering, no duplicates).",N/A (API contract test),P1,Positive,Automated,ContinueWatchScenarios.java#addOpenSeriesLastEpCompleted_hasCompletedPlayBackTrue,
CWS-020,Continue Watch Scenarios,Continue watch,GET /subscriber-event-service/v3/continue-watch/continue (open-series last episode absent after completion),GET continue-watch after completed open-series last episode — last episode absent from CW,Logged-in entitled subscriber; CW/WA lists in known state (see scenario).,Configured content/channel ids from environments/<env>.properties,"1. Call API: GET /subscriber-event-service/v3/continue-watch/continue (open-series last episode absent after completion)
2. Validate HTTP status, response envelope (status=true), and business rules per scenario.",API returns expected error (e.g. HTTP 400) or item excluded from list per contract.,N/A (API contract test),P2,Negative,Automated,ContinueWatchScenarios.java#getCwAfterCompletedOpenSeriesLastEp_lastEpAbsent,
CWS-021,Continue Watch Scenarios,Continue watch,GET /subscriber-event-service/v3/watch-again (open-series after last episode completion),GET watch-again after completed open-series last episode — series editorial id must appear,Logged-in entitled subscriber; CW/WA lists in known state (see scenario).,Configured content/channel ids from environments/<env>.properties,"1. Call API: GET /subscriber-event-service/v3/watch-again (open-series after last episode completion)
2. Validate HTTP status, response envelope (status=true), and business rules per scenario.","HTTP 200; status=true; response data matches contract (fields present, correct ids, ordering, no duplicates).",N/A (API contract test),P1,Positive,Automated,ContinueWatchScenarios.java#getWatchAgainAfterCompletedOpenSeriesLastEp_seriesPresent,
